"","DataThrough","Season","TeamName","Seed","ConfShort","Coach","Wins","Losses","AdjEM","RankAdjEM","Pythag","RankPythag","AdjOE","RankAdjOE","OE","RankOE","AdjDE","RankAdjDE","DE","RankDE","Tempo","RankTempo","AdjTempo","RankAdjTempo","Luck","RankLuck","SOS","RankSOS","SOSO","RankSOSO","SOSD","RankSOSD","NCSOS","RankNCSOS","Event","APL_Off","RankAPL_Off","APL_Def","RankAPL_Def","ConfAPL_Off","RankConfAPL_Off","ConfAPL_Def","RankConfAPL_Def"
"283","End of season",2022,"Radford",0,"BSth","Darris Nichols",11,18,-10.2004,283,0.237,286,95.3184,309,94.2041,320,105.519,234,102.589,204,64.7624,334,64.1371,326,0.0226,130,-3.2706,225,100.927,237,104.198,214,5.5706,32,NA,18.74,303,17.89,258,19.38,12,18.23,9
"284","End of season",2022,"Bowling Green",0,"MAC","Michael Huger",13,18,-10.2157,284,0.2517,279,102.821,178,104.928,113,113.037,343,110.987,336,73.6989,7,72.7967,3,-0.0107,201,-5.501,282,101.109,224,106.61,310,-8.1716,344,NA,15.57,15,16.99,55,15.65,1,16.87,2
"285","End of season",2022,"North Carolina Central",0,"MEAC","LeVelle Moton",16,15,-10.3438,285,0.237,285,96.6706,289,95.2689,303,107.014,259,100.778,150,70.4378,67,67.5985,141,0.0444,82,-6.1717,300,97.4028,354,103.575,182,2.1422,100,NA,16.84,77,17.08,78,16.6,4,17.94,8
"286","End of season",2022,"Albany",0,"AE","Dwayne Killings",13,18,-10.4715,286,0.2249,291,92.203,341,93.9074,325,102.675,172,99.6633,122,65.8294,292,65.15,282,0.0417,86,-6.0735,296,100.178,281,106.252,299,-0.6348,175,NA,18.09,254,18.14,303,18.25,6,18.63,10
"287","End of season",2022,"Illinois Chicago",0,"Horz","Luke Yaklich",14,16,-10.5212,287,0.2393,284,99.4277,246,102.014,176,109.949,303,105.697,267,68.9696,121,69.218,67,0.0588,62,-7.4347,328,98.9139,327,106.349,304,0.6238,139,NA,17.29,140,17.64,188,16.82,2,17.76,6
"288","End of season",2022,"San Jose St.",0,"MWC","Tim Miles",8,23,-10.6225,288,0.2363,287,98.9152,253,94.6428,312,109.538,296,111.197,339,65.8011,294,65.3585,269,-0.0072,193,4.1219,96,104.656,99,100.535,95,-2.7052,241,NA,18.9,320,17.49,150,19.39,9,17.6,3
"289","End of season",2022,"North Carolina A&T",0,"BSth","Will Jones",12,20,-10.7557,289,0.2295,289,96.8299,288,96.3688,287,107.586,273,104.314,245,67.6956,197,67.411,159,0.0229,127,-3.1863,222,100.472,269,103.658,184,2.7413,89,NA,17.78,210,17.57,173,18.19,9,17.7,4
"290","End of season",2022,"Binghamton",0,"AE","Levell Sanders",12,17,-10.7607,290,0.2252,290,94.8662,316,97.1149,278,105.627,236,103.701,230,67.2147,229,67.12,182,-0.0037,187,-6.4655,311,100.517,265,106.982,327,-3.0793,252,NA,17.78,208,17.72,212,17.15,3,18.32,7
"291","End of season",2022,"Austin Peay",0,"OVC","Nate James",12,17,-10.8303,291,0.2237,293,94.7914,318,93.7918,328,105.622,235,104.012,236,65.8389,291,64.6405,313,0.0665,50,-2.1562,194,100.719,247,102.875,151,6.6869,23,NA,18.75,306,17.49,149,19.29,9,17.4,5
"292","End of season",2022,"Morgan St.",0,"MEAC","Kevin Broadus",13,15,-10.9659,292,0.2203,296,94.4088,322,94.1552,322,105.375,230,99.9957,128,74.104,4,71.8747,13,-0.021,225,-7.2959,324,96.9385,356,104.234,216,1.8728,109,NA,16.04,32,16.35,6,15.87,2,15.78,1
"293","End of season",2022,"Pacific",0,"WCC","Leonard Perry",8,22,-10.9665,293,0.2216,295,94.9945,314,93.773,329,105.961,244,105.679,266,69.2755,103,68.1609,115,-0.048,293,-0.31,149,103.299,140,103.609,183,-3.4345,258,NA,17.32,143,17.42,136,17.58,7,16.56,3
"294","End of season",2022,"Denver",0,"Sum","Jeff Wulbrun",11,21,-11.0764,294,0.2297,288,99.8494,242,102.81,160,110.926,322,108.876,316,67.9128,184,66.3702,222,-0.0457,285,-5.5832,283,101.896,196,107.479,341,-4.7954,295,NA,18.42,280,17.04,65,18.5,9,16.87,2
"295","End of season",2022,"Army",0,"Pat","Jimmy Allen",15,16,-11.1189,295,0.2219,294,96.4516,295,98.9232,245,107.57,272,102.792,207,69.2482,106,68.8158,89,0.025,124,-8.4228,345,98.6465,335,107.069,331,-3.9853,274,NA,15.88,26,18.58,347,16.07,1,19.06,10
"296","End of season",2022,"Western Carolina",0,"SC","Justin Gray",11,21,-11.2912,296,0.224,292,98.9724,252,99.7163,221,110.264,307,112.319,347,69.0232,117,68.2021,112,0.0736,44,-0.5458,154,104.969,87,105.515,268,-2.7428,244,NA,17.2,124,17.47,143,17.71,4,17.72,2
"297","End of season",2022,"Northern Illinois",0,"MAC","Rashon Burno",9,21,-11.3396,297,0.2098,300,92.7617,337,93.0495,333,104.101,209,103.647,228,68.5675,147,67.0198,189,0.0013,169,-2.8906,211,102.346,176,105.237,258,0.7302,135,NA,17.4,154,17.4,134,17.57,8,17.23,6
"298","End of season",2022,"SIU Edwardsville",0,"OVC","Brian Barone",11,21,-11.4727,298,0.2102,299,94.0293,326,95.062,307,105.502,233,102.798,208,69.6929,90,68.466,103,-0.0238,233,-4.4084,254,100.592,259,105,251,-1.8237,213,NA,17.26,138,17.07,72,17.38,5,17.33,4
"299","End of season",2022,"Merrimack",0,"NEC","Joe Gallo",14,16,-11.5524,299,0.2091,301,94.1966,325,95.1217,306,105.749,239,101.557,168,63.5076,346,62.175,350,0.0603,56,-7.6081,333,99.0388,322,106.647,311,-1.7985,210,NA,18.52,285,18.96,356,18,6,19.33,10
"300","End of season",2022,"Coppin St.",0,"MEAC","Juan Dixon",9,23,-11.709,300,0.2013,303,91.97,344,90.6106,348,103.679,198,101.149,162,74.0051,5,72.2346,8,-0.0173,214,-3.2838,226,99.9009,294,103.185,162,5.503,34,NA,15.39,7,17.11,84,14.62,1,16.79,6
"301","End of season",2022,"UT Rio Grande Valley",0,"WAC","Matt Figger",8,23,-11.7991,301,0.2168,298,99.8774,239,97.2421,275,111.677,332,109.503,323,72.8935,13,71.7643,15,-0.0711,324,-1.4719,179,100.569,264,102.041,120,-0.3068,167,NA,16.23,36,16.55,16,16.1,3,16.88,1
"302","End of season",2022,"Lehigh",0,"Pat","Brett Reed",13,19,-12.0739,302,0.2084,302,98.1225,265,99.5507,226,110.196,306,104.682,249,68.2261,167,68.0952,116,-0.0146,209,-8.7215,353,97.9876,347,106.709,317,-5.4744,304,NA,17.67,193,17.32,118,17.83,5,17.61,2
"303","End of season",2022,"Grambling St.",0,"SWAC","Donte Jackson",12,20,-12.3141,303,0.1946,305,93.6727,331,92.2816,339,105.987,245,102.544,202,70.5254,61,69.251,66,0.0343,105,-4.4601,256,98.58,336,103.04,161,10.2165,9,NA,16.57,53,17.26,107,16.21,1,17.72,9
"304","End of season",2022,"Stetson",0,"ASun","Donnie Jones",11,19,-12.4357,304,0.199,304,96.5888,292,97.8832,264,109.025,289,107.719,301,66.633,260,65.7118,255,-0.0095,196,-3.9865,243,101.767,202,105.753,277,-0.9619,183,NA,18.76,308,17.06,70,18.41,8,17.23,2
"305","End of season",2022,"St. Thomas",0,"Sum","Johnny Tauer",10,20,-12.5068,305,0.2183,297,106.616,102,108.63,40,119.123,357,116.902,357,66.9889,243,65.2645,275,-0.0843,337,-4.8721,263,101.928,195,106.8,319,-2.1568,226,NA,18.38,275,17.41,135,18.39,8,17.43,8
"306","End of season",2022,"South Carolina St.",0,"MEAC","Tony Madlock",15,16,-12.5561,306,0.1896,309,93.2697,333,94.1961,321,105.826,242,100.171,137,73.3309,9,70.0443,44,0.0742,42,-8.5257,348,97.3365,355,105.862,284,-4.7567,293,NA,15.97,31,16.68,26,16.56,3,16.8,7
"307","End of season",2022,"Tennessee Martin",0,"OVC","Ryan Ridder",8,22,-12.6383,307,0.1944,306,96.0404,303,95.1265,305,108.679,282,106.572,275,70.2353,74,68.8865,84,-0.0413,276,-2.1302,192,101.286,219,103.416,172,3.9565,54,NA,17.13,115,17.04,62,17.35,4,17.15,2
"308","End of season",2022,"Cal Poly",0,"BW","John Smith",7,21,-12.7193,308,0.1864,311,93.0316,336,92.0139,342,105.751,240,103.17,213,65.0334,325,64.6377,314,-0.0337,253,-3.306,227,100.235,279,103.541,179,-2.6968,240,NA,18.67,296,17.83,238,18.61,5,18.03,4
"309","End of season",2022,"Florida A&M",0,"SWAC","Robert McCullum",13,17,-12.7281,309,0.1903,308,94.8718,315,94.384,318,107.6,274,102.271,189,66.8225,253,65.4785,264,0.0967,23,-6.2356,304,98.0318,346,104.267,222,8.8695,13,NA,17.63,188,18.24,316,17.96,10,18.43,12
"310","End of season",2022,"McNeese St.",0,"Slnd","John Aiken",11,22,-12.9673,310,0.1926,307,97.7024,273,98.0424,259,110.67,319,107.032,282,72.7472,18,69.6111,55,-0.0423,278,-5.4388,279,100.153,283,105.592,270,4.7958,43,NA,16.51,49,16.55,15,16.44,6,16.78,5
"311","End of season",2022,"Alabama St.",0,"SWAC","Mo Williams",10,21,-13.1893,311,0.1877,310,97.0883,283,96.2452,290,110.278,308,105.454,264,71.1919,45,69.4362,62,-0.002,179,-6.0513,295,98.3303,340,104.382,227,10.5236,7,NA,16.66,62,17.06,68,17.05,3,17.57,7
"312","End of season",2022,"UTSA",0,"CUSA","Steve Henson",10,22,-13.196,312,0.1816,313,94.3202,324,93.4793,332,107.516,271,106.625,276,68.989,118,68.6714,94,-0.02,220,-2.214,198,101.599,205,103.813,196,-8.1794,345,NA,17.66,191,17.04,63,17.78,8,17.14,2
"313","End of season",2022,"Maryland Eastern Shore",0,"MEAC","Jason Crafton",11,16,-13.2099,313,0.1709,319,89.7355,353,89.3647,352,102.945,177,98.1804,82,69.7469,87,67.8717,126,0.0211,136,-5.4856,281,98.2833,342,103.769,192,5.0646,39,NA,17.52,173,16.68,25,17.27,7,16.05,2
"314","End of season",2022,"Alabama A&M",0,"SWAC","Dylan Howard",12,18,-13.5011,314,0.1607,326,87.329,355,88.6957,354,100.83,130,96.2221,45,68.3935,162,66.5795,212,0.0338,108,-8.4946,347,97.8394,349,106.334,303,2.2255,98,NA,17.8,212,17.34,123,17.66,8,17.88,10
"315","End of season",2022,"North Alabama",0,"ASun","Tony Pujol",9,21,-13.568,315,0.1664,322,90.2141,351,91.3292,346,103.782,202,102.994,211,69.442,98,67.6875,135,-0.0644,313,-3.3437,228,102.525,170,105.869,286,3.8955,58,NA,17.17,119,17.11,85,17.39,5,17.26,3
"316","End of season",2022,"Eastern Michigan",0,"MAC","Stan Heath",10,21,-13.6048,316,0.1739,317,93.7492,330,94.9326,308,107.354,265,106.325,272,70.5386,60,69.2143,68,0.0253,122,-3.5567,233,101.868,198,105.424,266,0.3079,146,NA,17.15,117,16.64,20,17.3,6,16.87,3
"317","End of season",2022,"Sacramento St.",0,"BSky","Brandon Laird",11,18,-13.7208,317,0.175,316,95.0649,313,97.3264,274,108.786,284,107.224,286,66.1491,278,64.2519,324,0.008,155,-6.0172,293,101.222,222,107.239,337,0.8809,133,NA,18.56,290,17.4,133,19.06,11,17.54,8
"318","End of season",2022,"Central Michigan",0,"MAC","Tony Barbee",7,23,-13.7689,318,0.1768,314,96.2239,299,95.6397,302,109.993,304,111.046,337,68.8164,132,67.4921,149,-0.0013,176,-1.7374,184,103.366,134,105.103,254,2.9329,84,NA,17.41,159,17.3,114,17.71,9,17.41,10
"319","End of season",2022,"Central Arkansas",0,"ASun","Anthony Boone",11,20,-14.1434,319,0.1766,315,98.7239,257,97.0158,279,112.867,341,113.628,350,72.7998,16,71.8818,12,0.098,21,-1.1966,171,103.045,152,104.242,217,8.3681,17,NA,15.73,19,17.09,79,15.31,1,17.38,6
"320","End of season",2022,"Sacred Heart",0,"NEC","Anthony Latina",10,20,-14.1662,320,0.1817,312,101.335,204,103.313,145,115.502,352,110.189,329,68.5858,146,67.3914,161,-0.0271,240,-8.673,351,97.7773,350,106.45,306,-5.4094,303,NA,17.46,163,17.22,102,17.4,5,17.15,4
"321","End of season",2022,"Evansville",0,"MVC","Todd Lickliter",6,24,-14.1906,321,0.1625,323,92.6079,339,89.165,353,106.798,256,108.615,311,64.2653,341,64.0628,329,-0.0652,317,2.1145,111,104.188,111,102.073,122,-2.5529,236,NA,20.76,357,16.52,14,20.68,10,16.49,1
"322","End of season",2022,"St. Francis NY",0,"NEC","Glenn Braica",10,20,-14.2137,322,0.1669,321,94.7201,320,96.5483,284,108.934,287,104.32,247,67.7433,196,66.6374,208,-0.0369,264,-7.8331,335,98.4655,338,106.299,302,-1.6673,204,NA,18.28,268,17.06,69,18.6,8,17.01,2
"323","End of season",2022,"Lafayette",0,"Pat","Fran O'Hanlon",10,20,-14.4064,323,0.1692,320,97.0912,282,100.188,212,111.498,330,108.713,315,65.6608,298,64.7531,303,-0.0408,275,-7.8791,337,100.282,276,108.161,351,-0.2387,163,NA,18.31,272,18.06,289,18.44,7,18.36,9
"324","End of season",2022,"Idaho",0,"BSky","Zac Claus",9,22,-14.6013,324,0.1709,318,99.1957,250,100.562,206,113.797,347,112.171,346,70.8295,52,69.9751,45,-0.0279,243,-4.974,266,100.937,235,105.911,289,2.0868,102,NA,17.4,155,16.36,8,17.44,6,16.12,1
"325","End of season",2022,"St. Francis PA",0,"NEC","Rob Krimmel",9,21,-14.6059,325,0.162,324,95.097,312,97.5437,270,109.703,298,107.667,299,68.319,164,67.3389,166,-0.0751,328,-7.4844,330,99.4403,312,106.925,323,-2.0311,221,NA,18.04,244,16.84,39,18.05,7,17.13,3
"326","End of season",2022,"Hampton",0,"BSth","Edward Joyner Jr",9,19,-15.0158,326,0.1464,330,90.631,350,90.5284,349,105.647,237,101.545,167,68.9772,120,69.1405,73,0.0698,47,-5.4622,280,99.0039,324,104.466,231,-3.0496,250,NA,17.33,145,17.85,252,17.04,1,17.73,5
"327","End of season",2022,"Robert Morris",0,"Horz","Andrew Toole",8,24,-15.1587,327,0.1615,325,98.4383,261,100.726,204,113.597,345,110.735,334,67.5274,205,66.6527,206,-0.0669,320,-6.2844,308,100.365,273,106.649,312,2.683,91,NA,18.06,250,17.21,101,18.49,9,17.57,4
"328","End of season",2022,"Little Rock",0,"SB","Darrell Walker",9,19,-15.1768,328,0.158,327,96.9004,286,94.0895,324,112.077,336,111.119,338,66.7579,256,66.6589,205,0.0753,39,-0.2062,144,102.142,184,102.348,127,3.9035,57,NA,18.06,249,17.61,180,18.34,9,17.93,7
"329","End of season",2022,"Western Michigan",0,"MAC","Clayton Bates",8,23,-15.2076,329,0.1575,329,96.8533,287,97.1912,277,112.061,335,113.693,351,66.1625,275,64.0414,331,-0.024,234,-2.4824,203,103.398,132,105.881,287,4.5649,44,NA,19.32,337,16.86,42,19.31,11,17.19,5
"330","End of season",2022,"Northwestern St.",0,"Slnd","Mike McConathy",9,23,-15.4197,330,0.1578,328,98.3551,263,97.742,266,113.775,346,112.343,348,73.5233,8,71.1583,18,-0.0595,308,-4.6486,260,100.706,249,105.355,263,6.2738,26,NA,16.66,59,15.85,4,16.18,5,16.01,3
"331","End of season",2022,"American",0,"Pat","Mike Brennan",10,22,-16.2029,331,0.1392,332,94.375,323,96.1552,292,110.578,317,107.435,291,65.5956,301,64.9483,291,0.0026,167,-7.56,331,99.3176,316,106.878,322,-3.9232,271,NA,19.68,347,16.75,30,20.29,10,17.28,1
"332","End of season",2022,"Cal St. Northridge",0,"BW","Trent Johnson",7,23,-16.2046,332,0.1382,333,93.9489,328,91.5744,344,110.154,305,107.987,306,65.2105,317,64.9406,293,0.0285,118,-1.6424,182,100.975,230,102.617,140,0.7123,136,NA,18.83,315,17.67,196,18.51,4,18.35,7
"333","End of season",2022,"Bethune Cookman",0,"SWAC","Reggie Theus",9,21,-16.6754,333,0.1307,335,93.0961,335,92.1625,340,109.771,300,104.308,244,67.2119,230,65.8188,251,0.039,97,-6.6662,315,97.7372,352,104.403,228,3.2265,77,NA,18.28,269,17.15,88,18.12,11,17.33,6
"334","End of season",2022,"Northern Arizona",0,"BSky","Shane Burcar",9,23,-16.9062,334,0.133,334,95.501,307,96.6273,283,112.407,340,110.662,333,67.2394,226,65.1164,284,0.0073,157,-5.176,271,101.575,210,106.751,318,0.197,153,NA,18.8,312,16.85,40,18.95,9,17.25,4
"335","End of season",2022,"Milwaukee",0,"Horz","Pat Baldwin",10,22,-17.0413,335,0.1235,338,91.7416,346,95.2219,304,108.783,283,105.133,256,67.7605,193,66.8467,196,-0.0475,289,-8.1316,341,99.4073,314,107.539,342,-3.6717,265,NA,17.26,135,18.06,288,17.22,4,18.33,9
"336","End of season",2022,"Bucknell",0,"Pat","Nathan Davis",9,23,-17.0932,336,0.1399,331,99.9341,237,101.767,183,117.027,356,113.829,352,68.2197,169,67.6765,136,0.0389,98,-6.2743,307,100.399,271,106.673,315,-1.5056,201,NA,17.49,168,17.56,169,17.95,6,17.96,4
"337","End of season",2022,"Houston Baptist",0,"Slnd","Ron Cottrell",11,18,-17.1354,337,0.1297,336,95.2023,311,97.9139,262,112.338,339,109.569,324,70.8535,51,68.7644,92,-0.0021,180,-8.6806,352,99.7054,305,108.386,354,-1.1574,189,NA,18.02,243,15.78,3,17.86,7,14.96,1
"338","End of season",2022,"William & Mary",0,"CAA","Dane Fischer",5,27,-17.3262,338,0.117,342,90.1668,352,89.4507,351,107.493,270,107.171,285,69.4726,96,68.7641,93,0.0146,143,-1.1302,170,102.59,167,103.72,189,-2.0554,223,NA,17.41,157,17.04,64,17.17,4,17.17,2
"339","End of season",2022,"Idaho St.",0,"BSky","Ryan Looney",7,23,-17.5414,339,0.1224,339,93.8608,329,94.6489,311,111.402,328,109.399,320,65.6391,300,63.9117,333,-0.0382,268,-4.9423,264,100.976,229,105.918,290,1.5444,117,NA,19.36,340,16.94,49,18.99,10,16.94,2
"340","End of season",2022,"Chicago St.",0,"WAC","Gerald Gillion",7,25,-17.6382,340,0.1246,337,95.462,308,92.8099,335,113.1,344,110.649,332,66.9022,248,65.6478,257,0.0403,90,-2.0067,191,100.398,272,102.405,130,-5.1374,300,NA,18.23,264,17.32,119,18.05,10,17.73,11
"341","End of season",2022,"Southern Miss",0,"CUSA","Jay Ladner",7,26,-17.8481,341,0.1192,340,93.963,327,92.0843,341,111.811,334,111.487,342,67.6276,200,67.0724,187,0.0338,106,-0.2046,143,102.72,163,102.925,153,-1.2109,190,NA,17.44,161,17.89,260,17.59,7,17.99,10
"342","End of season",2022,"NJIT",0,"AE","Brian Kennedy",11,18,-18.3117,342,0.105,344,89.4022,354,92.5236,336,107.714,275,105.336,260,66.6106,263,66.0228,244,0.0922,25,-7.0343,320,99.9996,286,107.034,329,-6.649,323,NA,18.54,288,17.32,120,18.81,8,17.52,2
"343","End of season",2022,"Green Bay",0,"Horz","Will Ryan",5,25,-18.5168,343,0.1081,343,91.9092,345,94.2066,319,110.426,313,107.248,287,64.9905,327,64.6516,311,-0.1161,352,-6.4774,312,99.9389,291,106.416,305,2.8106,87,NA,19.44,344,17.48,145,19.26,11,17.44,3
"344","End of season",2022,"Nebraska Omaha",0,"Sum","Derrin Hansen",5,25,-18.6601,344,0.1183,341,97.7627,271,97.8541,265,116.423,353,118.747,358,71.2698,43,69.8771,50,-0.0549,303,-2.1765,196,104.386,107,106.562,309,3.5638,68,NA,16.56,52,17.07,71,15.98,3,17.27,7
"345","End of season",2022,"Fairleigh Dickinson",0,"NEC","Greg Herenda",4,22,-19.6997,345,0.1024,346,94.8027,317,94.5021,315,114.502,350,111.259,341,70.4124,68,69.6149,54,-0.0512,296,-5.3553,275,99.9156,292,105.271,260,5.5415,33,NA,16.66,60,17.34,124,16.16,2,17.62,7
"346","End of season",2022,"Central Connecticut",0,"NEC","Patrick Sellers",8,24,-19.7062,346,0.0959,347,91.4865,347,92.295,338,111.193,326,107.531,294,66.1917,273,64.5939,315,0.0318,113,-6.3915,310,99.7196,304,106.111,296,-1.4393,200,NA,18.83,314,17.18,97,19.22,10,17.6,6
"347","End of season",2022,"Charleston Southern",0,"BSth","Barclay Radebaugh",6,25,-19.9413,347,0.0953,348,92.2596,340,91.5229,345,112.201,338,110.017,328,69.7899,86,68.896,81,-0.0019,178,-3.742,235,100.58,262,104.322,226,0.384,143,NA,17.07,105,17.21,100,18.06,8,17.7,3
"348","End of season",2022,"North Dakota",0,"Sum","Paul Sather",6,25,-19.9502,348,0.1034,345,96.5528,294,99.2396,235,116.503,354,115.633,356,69.0561,115,67.3603,164,-0.0201,222,-5.6784,285,102.076,187,107.755,347,-5.9732,316,NA,17.77,207,16.86,43,17.49,6,16.92,3
"349","End of season",2022,"Holy Cross",0,"Pat","Brett Nelson",9,22,-20.0737,349,0.0921,351,91.1946,348,94.1174,323,111.268,327,107.667,300,67.0013,241,67.0975,184,0.0593,60,-8.1752,342,98.9791,325,107.154,336,-4.0822,278,NA,17.48,166,18.36,330,17.21,2,18.33,8
"350","End of season",2022,"Lamar",0,"WAC","Alvin Brooks",2,27,-20.1486,350,0.0931,349,92.029,343,90.3443,350,112.178,337,109.887,327,67.4157,217,66.0606,240,-0.0649,315,-1.86,185,100.835,239,102.695,143,-1.0009,184,NA,18.12,256,17.2,98,17.98,9,16.92,2
"351","End of season",2022,"Columbia",0,"Ivy","Jim Engles",4,22,-21.0155,351,0.0879,352,93.175,334,93.8094,327,114.191,348,111.973,345,70.7133,55,69.5409,58,-0.0037,186,-4.1569,248,100.943,234,105.1,253,-7.9077,341,NA,16.84,74,16.87,44,16.73,3,16.27,2
"352","End of season",2022,"Arkansas Pine Bluff",0,"SWAC","Solomon Bozeman",7,24,-21.5198,352,0.0922,350,97.7822,269,93.8129,326,119.302,358,114.574,354,68.9177,125,67.0841,185,0.0092,153,-3.8354,240,98.7663,331,102.602,134,12.0486,5,NA,17.21,126,17.39,129,17.33,7,17.65,8
"353","End of season",2022,"Incarnate Word",0,"Slnd","Carson Cunningham",7,25,-21.9153,353,0.0838,353,94.7715,319,95.857,299,116.687,355,114.604,355,67.7517,195,64.6423,312,-0.0082,194,-6.3881,309,100.474,268,106.862,320,1.052,129,NA,18.84,316,16.67,24,18.57,8,16.98,6
"354","End of season",2022,"Maine",0,"AE","Richard Barron",6,23,-22.0633,354,0.0782,354,92.1933,342,91.9297,343,114.257,349,111.253,340,66.1591,276,66.2438,229,-0.0475,290,-5.752,286,99.9492,290,105.701,276,1.329,126,NA,18.01,240,18.03,283,17.35,4,18.55,9
"355","End of season",2022,"Mississippi Valley St.",0,"SWAC","Lindsey Hunter",2,26,-22.5262,355,0.0758,355,92.7246,338,90.8253,347,115.251,351,111.91,344,72.6348,20,70.7749,27,-0.1004,345,-6.2649,306,97.9176,348,104.182,213,4.9769,40,NA,17.09,110,15.54,1,17.07,4,16.12,1
"356","End of season",2022,"Delaware St.",0,"MEAC","Stan Waterman",2,26,-24.2923,356,0.0544,356,86.1875,356,85.7651,356,110.48,314,107.462,292,70.4527,66,68.4385,105,-0.1176,354,-6.0814,298,98.1616,343,104.243,218,-0.8061,181,NA,17.33,146,16.49,12,17.21,6,16.19,3
"357","End of season",2022,"Eastern Illinois",0,"OVC","Marty Simmons",5,26,-25.7176,357,0.0432,357,83.1716,357,82.0562,357,108.889,285,107.59,296,66.3362,271,64.7441,305,-5e-04,174,-3.5262,231,100.688,251,104.214,215,-2.1159,225,NA,19.53,346,16.46,10,20.03,10,16.53,1
"358","End of season",2022,"IUPUI",0,"Horz","Matt Crenshaw",3,26,-31.5684,358,0.0208,358,79.3799,358,81.4853,358,110.948,323,108.582,310,63.0657,350,62.3385,346,-0.0552,304,-7.8377,336,99.6148,310,107.453,340,-4.703,291,NA,20.04,351,17.67,198,20.31,12,17.24,2
"359","End of season",2023,"Connecticut",4,"BE","Dan Hurley",31,8,29.8627,1,0.9632,1,120.799,3,114.768,6,90.9361,7,94.0146,12,68.3625,161,66.6199,204,-0.0564,304,10.3851,17,109.686,29,99.3008,14,-1.7537,208,"NCAA",18.17,244,16.97,43,18.4,10,17.23,7
"360","End of season",2023,"Houston",1,"Amer","Kelvin Sampson",33,4,27.7167,2,0.9558,4,118.144,11,115.652,3,90.4269,5,88.7213,2,64.8422,325,63.5389,339,0.023,122,4.5561,89,107.156,95,102.6,81,-0.026,161,"NCAA",18.95,321,17.91,256,19.12,11,17.92,11
"361","End of season",2023,"UCLA",2,"P12","Mick Cronin",31,6,27.2885,3,0.9572,2,115.244,21,110.293,35,87.9554,2,90.3534,3,67.1949,217,66.0543,235,-0.009,218,8.6959,39,109.197,38,100.501,47,0.1521,155,"NCAA",17.88,209,17.89,251,18.38,6,18.14,7
"362","End of season",2023,"Alabama",1,"SEC","Nate Oats",31,6,27.2842,4,0.9569,3,115.496,20,110.678,31,88.2114,3,91.7502,4,72.728,13,72.6036,4,0.0566,56,11.0695,11,110.223,16,99.1531,10,10.4563,4,"NCAA",15.28,6,17.77,217,15.06,1,18.11,11
"363","End of season",2023,"Texas",2,"B12","Rodney Terry",29,9,24.4345,5,0.9374,6,116.549,15,110.06,39,92.1146,13,95.4826,25,70.1213,72,68.8185,98,0.017,140,11.9113,7,111.126,3,99.2145,12,-0.7648,183,"NCAA",16.57,60,17.74,206,16.74,4,17.39,3
"364","End of season",2023,"Tennessee",4,"SEC","Rick Barnes",25,11,23.7996,6,0.9408,5,111.331,64,107.458,83,87.5318,1,87.8749,1,65.8745,286,65.0723,288,-0.0631,317,8.6897,40,109.178,40,100.488,46,2.7622,86,"NCAA",18.18,246,18.02,279,18.59,11,18.16,12
"365","End of season",2023,"Purdue",1,"B10","Matt Painter",29,6,23.2412,7,0.9262,8,117.699,12,112.788,13,94.4582,24,97.5092,54,64.2011,340,64.199,324,0.0209,129,9.1747,32,110.053,20,100.878,53,0.7071,138,"NCAA",19.2,335,18.11,297,19.47,13,18.28,8
"366","End of season",2023,"Gonzaga",3,"WCC","Mark Few",31,6,23.0216,8,0.9167,11,122.3,1,118.51,2,99.2782,73,103.403,183,71.6299,34,70.318,39,0.0799,32,8.2578,45,110.143,17,101.885,70,7.8096,12,"NCAA",16,30,17.65,177,15.77,2,18.01,10
"367","End of season",2023,"Kansas",1,"B12","Bill Self",28,8,22.8456,9,0.928,7,114.636,25,106.633,98,91.7905,11,96.4689,39,70.1771,69,69.1601,75,0.0818,28,13.376,1,110.965,5,97.5889,2,6.5873,21,"NCAA",16.49,52,17.65,174,16.51,2,17.89,10
"368","End of season",2023,"Marquette",2,"BE","Shaka Smart",29,7,22.3811,10,0.9164,12,119.078,7,112.892,12,96.6971,43,100.116,93,69.3382,109,68.115,136,0.0092,162,9.3078,30,109.517,32,100.209,36,-1.1482,193,"NCAA",15.75,16,18.77,358,15.79,2,18.82,11
"369","End of season",2023,"Arizona",2,"P12","Tommy Lloyd",28,7,21.9018,11,0.9134,13,118.244,10,112.307,15,96.3422,39,97.8503,59,72.7404,11,72.0001,13,0.0272,109,8.3157,44,107.519,85,99.2033,11,3.1217,77,"NCAA",15.73,15,17.29,99,16.05,1,17.72,4
"370","End of season",2023,"Creighton",6,"BE","Greg McDermott",24,13,21.8253,12,0.9184,9,114.982,23,109.584,43,93.1568,14,97.8516,60,69.2774,110,67.8485,143,-0.0681,325,11.1461,10,110.985,4,99.8387,26,5.9691,27,"NCAA",17.39,149,17.1,66,17.76,6,17.18,6
"371","End of season",2023,"Saint Mary's",5,"WCC","Randy Bennett",27,8,21.2358,13,0.9171,10,112.61,44,109.432,47,91.3745,10,93.5487,9,63.5366,347,61.6411,359,0.0065,167,6.4517,67,109.699,28,103.247,99,3.9446,59,"NCAA",20.34,360,17.51,143,20.59,10,17.44,9
